,rxn_id,rxn_smiles,G_r,DG_TS,DG_TS_tunn
0,0,C.C[O]>>[CH3].CO,3.1,18.81839739,18.81839739
1,1,CCC(C)CC.C[O]>>[CH2]CC(C)CC.CO,-2.3,16.17595278,16.17595278
2,2,CCC(C)CC.C[O]>>C[CH]C(C)CC.CO,-6.1,14.56262457,14.56262457
3,3,CCC(C)CC.C[O]>>CC[C](C)CC.CO,-8.1,11.87311671,11.87311671
4,4,CCC(C)CC.C[O]>>[CH2]C(CC)CC.CO,-2.4,17.12349288,17.12349288
5,5,CCCCOC(C)=O.C[O]>>CCC[CH]OC(C)=O.CO,-4.6,15.87098292,15.87098292
6,6,CCCCOC(C)=O.C[O]>>CC[CH]COC(C)=O.CO,-4.5,16.03162548,16.03162548
7,7,CCCCOC(C)=O.C[O]>>C[CH]CCOC(C)=O.CO,-5.6,14.75715267,14.75715267
8,8,CCCCOC(C)=O.C[O]>>[CH2]CCCOC(C)=O.CO,-1.1,17.06387943,17.06387943
9,9,CCCCOCC.C[O]>>CCC[CH]OCC.CO,-8.4,12.09588276,12.09588276
10,10,C=CC.C[O]>>[CH2]C=C.CO,-15.3,14.06814669,14.06814669
11,11,C=CCC.C[O]>>C=C[CH]C.CO,-19.5,12.68950722,12.68950722
12,12,C=CC(C)C.C[O]>>C=C[C](C)C.CO,-21.6,11.95092795,11.95092795
13,13,Cc1ccccc1.C[O]>>[CH2]c1ccccc1.CO,-11.3,16.01091765,16.01091765
14,14,CCc1ccccc1.C[O]>>C[CH]c1ccccc1.CO,-16.1,12.15361368,12.15361368
15,15,CC(C)c1ccccc1.C[O]>>C[C](C)c1ccccc1.CO,-17.0,12.88654536,12.88654536
16,16,C=C(C)CCCCC.C[O]>>[CH2]C(=C)CCCCC.CO,-14.7,14.80421592,14.80421592
17,17,CCC(C)=O.C[O]>>[CH2]C(=O)CC.CO,-6.4,17.70519465,17.70519465
18,18,CCC(C)=O.C[O]>>C[CH]C(C)=O.CO,-11.0,16.57128408,16.57128408
19,19,CCCCCC(C)=O.C[O]>>[CH2]C(=O)CCCCC.CO,-6.6,17.57279004,17.57279004
20,20,CCCCOC(C)=O.C[O]>>[CH2]C(=O)OCCCC.CO,-2.9,20.28865332,20.28865332
21,21,CC#N.C[O]>>[CH2]C#N.CO,-5.1,19.2959325,19.2959325
22,22,CCC#N.C[O]>>C[CH]C#N.CO,-11.4,16.48155015,16.48155015
23,23,CC(C)C#N.C[O]>>C[C](C)C#N.CO,-16.3,14.42394486,14.42394486
24,24,CC.C[O]>>[CH2]C.CO,-2.4,16.63695338,16.63695338
25,25,CCC.C[O]>>C[CH]C.CO,-6.3,14.04717154,14.04717154
26,26,CCC.C[O]>>[CH2]CC.CO,-1.5,16.97754723,16.97754723
